SETTLEMENTDATE,REGIONID,PERIODID,RRP
17/07/2025 14:35,SA1,175,63.99
17/07/2025 14:40,SA1,176,65.73
17/07/2025 14:45,SA1,177,110.49
17/07/2025 14:50,SA1,178,120
17/07/2025 14:55,SA1,179,117.3
17/07/2025 15:00,SA1,180,47.37
17/07/2025 15:05,SA1,181,149
17/07/2025 15:10,SA1,182,96.97
17/07/2025 15:15,SA1,183,69.01
17/07/2025 15:20,SA1,184,47.37
17/07/2025 15:25,SA1,185,47.37
17/07/2025 15:30,SA1,186,47.37
17/07/2025 15:35,SA1,187,24.01
17/07/2025 15:40,SA1,188,54.12
17/07/2025 15:45,SA1,189,86.12
17/07/2025 15:50,SA1,190,50.37
17/07/2025 15:55,SA1,191,47.37
17/07/2025 16:00,SA1,192,47.37
17/07/2025 16:05,SA1,193,75.31
17/07/2025 16:10,SA1,194,75.77
17/07/2025 16:15,SA1,195,71.39
17/07/2025 16:20,SA1,196,117.3
17/07/2025 16:25,SA1,197,110.96
17/07/2025 16:30,SA1,198,108.87
17/07/2025 16:35,SA1,199,108.05
17/07/2025 16:40,SA1,200,118.18
17/07/2025 16:45,SA1,201,138
17/07/2025 16:50,SA1,202,151.78
17/07/2025 16:55,SA1,203,170.44
17/07/2025 17:00,SA1,204,149.08
17/07/2025 17:05,SA1,205,170.44
17/07/2025 17:10,SA1,206,170.44
17/07/2025 17:15,SA1,207,175.98
17/07/2025 17:20,SA1,208,170
17/07/2025 17:25,SA1,209,215.04
17/07/2025 17:30,SA1,210,162.32
17/07/2025 17:35,SA1,211,215.04
17/07/2025 17:40,SA1,212,164.22
17/07/2025 17:45,SA1,213,220.76
17/07/2025 17:50,SA1,214,216.16
17/07/2025 17:55,SA1,215,233.83
17/07/2025 18:00,SA1,216,235.13
17/07/2025 18:05,SA1,217,220.38
17/07/2025 18:10,SA1,218,221.84
17/07/2025 18:15,SA1,219,180.94
17/07/2025 18:20,SA1,220,269.42
17/07/2025 18:25,SA1,221,208.13
17/07/2025 18:30,SA1,222,267.7
17/07/2025 18:35,SA1,223,210.12
17/07/2025 18:40,SA1,224,181.4
17/07/2025 18:45,SA1,225,173.14
17/07/2025 18:50,SA1,226,191.2
17/07/2025 18:55,SA1,227,265.51
17/07/2025 19:00,SA1,228,217.69
17/07/2025 19:05,SA1,229,177.77
17/07/2025 19:10,SA1,230,229
17/07/2025 19:15,SA1,231,230
17/07/2025 19:20,SA1,232,258.56
17/07/2025 19:25,SA1,233,223.43
17/07/2025 19:30,SA1,234,222.52
17/07/2025 19:35,SA1,235,215.16
17/07/2025 19:40,SA1,236,228.14
17/07/2025 19:45,SA1,237,155.03
17/07/2025 19:50,SA1,238,177.77
17/07/2025 19:55,SA1,239,156.18
17/07/2025 20:00,SA1,240,170.44
17/07/2025 20:05,SA1,241,153.92
17/07/2025 20:10,SA1,242,227.25
17/07/2025 20:15,SA1,243,170.44
17/07/2025 20:20,SA1,244,177.77
17/07/2025 20:25,SA1,245,221.42
17/07/2025 20:30,SA1,246,230.55
17/07/2025 20:35,SA1,247,169.77
17/07/2025 20:40,SA1,248,227.37
17/07/2025 20:45,SA1,249,239.05
17/07/2025 20:50,SA1,250,303.93
17/07/2025 20:55,SA1,251,273.51
17/07/2025 21:00,SA1,252,239.4
17/07/2025 21:05,SA1,253,301.21
17/07/2025 21:10,SA1,254,266.25
17/07/2025 21:15,SA1,255,268.5
17/07/2025 21:20,SA1,256,276.12
17/07/2025 21:25,SA1,257,269.6
17/07/2025 21:30,SA1,258,177.62
17/07/2025 21:35,SA1,259,231.32
17/07/2025 21:40,SA1,260,233.37
17/07/2025 21:45,SA1,261,230
17/07/2025 21:50,SA1,262,173.98
17/07/2025 21:55,SA1,263,170.44
17/07/2025 22:00,SA1,264,170.44
17/07/2025 22:05,SA1,265,170.44
17/07/2025 22:10,SA1,266,170.44
17/07/2025 22:15,SA1,267,170.44
17/07/2025 22:20,SA1,268,170.44
17/07/2025 22:25,SA1,269,170.44
17/07/2025 22:30,SA1,270,170.44
17/07/2025 22:35,SA1,271,172.88
17/07/2025 22:40,SA1,272,170.44
17/07/2025 22:45,SA1,273,153.27
17/07/2025 22:50,SA1,274,138
17/07/2025 22:55,SA1,275,138
17/07/2025 23:00,SA1,276,138
17/07/2025 23:05,SA1,277,222.21
17/07/2025 23:10,SA1,278,200.65
17/07/2025 23:15,SA1,279,196.31
17/07/2025 23:20,SA1,280,170.44
17/07/2025 23:25,SA1,281,170.44
17/07/2025 23:30,SA1,282,170.44
17/07/2025 23:35,SA1,283,152.9
17/07/2025 23:40,SA1,284,155.34
17/07/2025 23:45,SA1,285,138.19
17/07/2025 23:50,SA1,286,138
17/07/2025 23:55,SA1,287,149
18/07/2025 0:00,SA1,288,153.64
18/07/2025 0:05,SA1,1,163.8
18/07/2025 0:10,SA1,2,170.44
18/07/2025 0:15,SA1,3,139.65
18/07/2025 0:20,SA1,4,140.35
18/07/2025 0:25,SA1,5,170.44
18/07/2025 0:30,SA1,6,169.17
18/07/2025 0:35,SA1,7,140.99
18/07/2025 0:40,SA1,8,170.44
18/07/2025 0:45,SA1,9,168.11
18/07/2025 0:50,SA1,10,170.44
18/07/2025 0:55,SA1,11,175.97
18/07/2025 1:00,SA1,12,170.44
18/07/2025 1:05,SA1,13,175.99
18/07/2025 1:10,SA1,14,175.97
18/07/2025 1:15,SA1,15,175.97
18/07/2025 1:20,SA1,16,175.97
18/07/2025 1:25,SA1,17,170.44
18/07/2025 1:30,SA1,18,170.44
18/07/2025 1:35,SA1,19,175.97
18/07/2025 1:40,SA1,20,175.99
18/07/2025 1:45,SA1,21,170.44
18/07/2025 1:50,SA1,22,138
18/07/2025 1:55,SA1,23,149.05
18/07/2025 2:00,SA1,24,168.4
18/07/2025 2:05,SA1,25,229.99
18/07/2025 2:10,SA1,26,175.97
18/07/2025 2:15,SA1,27,138
18/07/2025 2:20,SA1,28,149
18/07/2025 2:25,SA1,29,175.97
18/07/2025 2:30,SA1,30,175.97
18/07/2025 2:35,SA1,31,170.44
18/07/2025 2:40,SA1,32,170.44
18/07/2025 2:45,SA1,33,170.44
18/07/2025 2:50,SA1,34,138
18/07/2025 2:55,SA1,35,149.03
18/07/2025 3:00,SA1,36,170.44
18/07/2025 3:05,SA1,37,170.44
18/07/2025 3:10,SA1,38,170.44
18/07/2025 3:15,SA1,39,215.59
18/07/2025 3:20,SA1,40,175.97
18/07/2025 3:25,SA1,41,138
18/07/2025 3:30,SA1,42,170.44
18/07/2025 3:35,SA1,43,170.44
18/07/2025 3:40,SA1,44,239.05
18/07/2025 3:45,SA1,45,178.7
18/07/2025 3:50,SA1,46,175.97
18/07/2025 3:55,SA1,47,142.29
18/07/2025 4:00,SA1,48,170.44
18/07/2025 4:05,SA1,49,175.99
18/07/2025 4:10,SA1,50,170.44
18/07/2025 4:15,SA1,51,170.44
18/07/2025 4:20,SA1,52,178.7
18/07/2025 4:25,SA1,53,175.99
18/07/2025 4:30,SA1,54,170.44
18/07/2025 4:35,SA1,55,239.05
18/07/2025 4:40,SA1,56,175.99
18/07/2025 4:45,SA1,57,175.99
18/07/2025 4:50,SA1,58,178.7
18/07/2025 4:55,SA1,59,178.7
18/07/2025 5:00,SA1,60,185.08
18/07/2025 5:05,SA1,61,175.99
18/07/2025 5:10,SA1,62,175.99
18/07/2025 5:15,SA1,63,239.05
18/07/2025 5:20,SA1,64,239.05
18/07/2025 5:25,SA1,65,216.42
18/07/2025 5:30,SA1,66,239.05
18/07/2025 5:35,SA1,67,299.44
18/07/2025 5:40,SA1,68,208.92
18/07/2025 5:45,SA1,69,239.05
18/07/2025 5:50,SA1,70,239.05
18/07/2025 5:55,SA1,71,239.05
18/07/2025 6:00,SA1,72,229
18/07/2025 6:05,SA1,73,225.85
18/07/2025 6:10,SA1,74,177.77
18/07/2025 6:15,SA1,75,177.77
18/07/2025 6:20,SA1,76,216.42
18/07/2025 6:25,SA1,77,242.05
18/07/2025 6:30,SA1,78,229
18/07/2025 6:35,SA1,79,183.56
18/07/2025 6:40,SA1,80,229.99
18/07/2025 6:45,SA1,81,229
18/07/2025 6:50,SA1,82,230
18/07/2025 6:55,SA1,83,230
18/07/2025 7:00,SA1,84,285.26
18/07/2025 7:05,SA1,85,284.19
18/07/2025 7:10,SA1,86,291.44
18/07/2025 7:15,SA1,87,291.39
18/07/2025 7:20,SA1,88,287.94
18/07/2025 7:25,SA1,89,287.49
18/07/2025 7:30,SA1,90,286.89
18/07/2025 7:35,SA1,91,275.98
18/07/2025 7:40,SA1,92,299.44
18/07/2025 7:45,SA1,93,299.44
18/07/2025 7:50,SA1,94,280.61
18/07/2025 7:55,SA1,95,275.98
18/07/2025 8:00,SA1,96,276.63
18/07/2025 8:05,SA1,97,298.74
18/07/2025 8:10,SA1,98,284.03
18/07/2025 8:15,SA1,99,335.84
18/07/2025 8:20,SA1,100,275.98
18/07/2025 8:25,SA1,101,286.89
18/07/2025 8:30,SA1,102,275.98
18/07/2025 8:35,SA1,103,275.96
18/07/2025 8:40,SA1,104,230
18/07/2025 8:45,SA1,105,235.78
18/07/2025 8:50,SA1,106,229
18/07/2025 8:55,SA1,107,229
18/07/2025 9:00,SA1,108,177.08
18/07/2025 9:05,SA1,109,217.59
18/07/2025 9:10,SA1,110,169.39
18/07/2025 9:15,SA1,111,219.81
18/07/2025 9:20,SA1,112,211.68
18/07/2025 9:25,SA1,113,194.11
18/07/2025 9:30,SA1,114,142.29
18/07/2025 9:35,SA1,115,171.66
18/07/2025 9:40,SA1,116,149.08
18/07/2025 9:45,SA1,117,138
18/07/2025 9:50,SA1,118,138
18/07/2025 9:55,SA1,119,120.62
18/07/2025 10:00,SA1,120,119.41
18/07/2025 10:05,SA1,121,138
18/07/2025 10:10,SA1,122,138
18/07/2025 10:15,SA1,123,123.62
18/07/2025 10:20,SA1,124,127.06
18/07/2025 10:25,SA1,125,104.58
18/07/2025 10:30,SA1,126,94
18/07/2025 10:35,SA1,127,97.39
18/07/2025 10:40,SA1,128,100.44
18/07/2025 10:45,SA1,129,94.44
18/07/2025 10:50,SA1,130,94
18/07/2025 10:55,SA1,131,94.44
18/07/2025 11:00,SA1,132,63.33
18/07/2025 11:05,SA1,133,89.17
18/07/2025 11:10,SA1,134,88.94
18/07/2025 11:15,SA1,135,94
18/07/2025 11:20,SA1,136,50.34
18/07/2025 11:25,SA1,137,49.02
18/07/2025 11:30,SA1,138,47.4
18/07/2025 11:35,SA1,139,47.37
18/07/2025 11:40,SA1,140,50.02
18/07/2025 11:45,SA1,141,49.02
18/07/2025 11:50,SA1,142,51.43
18/07/2025 11:55,SA1,143,49.6
18/07/2025 12:00,SA1,144,47.37
18/07/2025 12:05,SA1,145,49.02
18/07/2025 12:10,SA1,146,49.02
18/07/2025 12:15,SA1,147,46.36
18/07/2025 12:20,SA1,148,37.92
18/07/2025 12:25,SA1,149,21.36
18/07/2025 12:30,SA1,150,24.69
18/07/2025 12:35,SA1,151,29.02
18/07/2025 12:40,SA1,152,33.79
18/07/2025 12:45,SA1,153,29.01
18/07/2025 12:50,SA1,154,31.05
18/07/2025 12:55,SA1,155,27.73
18/07/2025 13:00,SA1,156,32.99
18/07/2025 13:05,SA1,157,29.51
18/07/2025 13:10,SA1,158,26.99
18/07/2025 13:15,SA1,159,29.66
18/07/2025 13:20,SA1,160,29.57
18/07/2025 13:25,SA1,161,35.67
18/07/2025 13:30,SA1,162,31.13
18/07/2025 13:35,SA1,163,34.54
18/07/2025 13:40,SA1,164,35.45
18/07/2025 13:45,SA1,165,27.58
18/07/2025 13:50,SA1,166,47.37
18/07/2025 13:55,SA1,167,34.03
18/07/2025 14:00,SA1,168,47.37
18/07/2025 14:05,SA1,169,49.02
18/07/2025 14:10,SA1,170,13.07
18/07/2025 14:15,SA1,171,6.57
18/07/2025 14:20,SA1,172,9.1
18/07/2025 14:25,SA1,173,23.56
18/07/2025 14:30,SA1,174,18.95
